,Date,CPI,Inflation Rate
0,1947-01-01,21.48,
1,1947-02-01,21.62,
2,1947-03-01,22.0,
3,1947-04-01,22.0,
4,1947-05-01,21.95,
5,1947-06-01,22.08,
6,1947-07-01,22.23,
7,1947-08-01,22.4,
8,1947-09-01,22.84,
9,1947-10-01,22.91,
10,1947-11-01,23.06,
11,1947-12-01,23.41,
12,1948-01-01,23.68,10.242085661080068
13,1948-02-01,23.67,9.481961147086038
14,1948-03-01,23.5,6.818181818181812
15,1948-04-01,23.82,8.272727272727277
16,1948-05-01,24.01,9.384965831435089
17,1948-06-01,24.15,9.375
18,1948-07-01,24.4,9.761583445793963
19,1948-08-01,24.43,9.062499999999996
20,1948-09-01,24.36,6.654991243432562
21,1948-10-01,24.31,6.110868616324749
22,1948-11-01,24.16,4.770164787510844
23,1948-12-01,24.05,2.733874412644166
24,1949-01-01,24.01,1.3935810810810967
25,1949-02-01,23.91,1.0139416983523386
26,1949-03-01,23.91,1.744680851063829
27,1949-04-01,23.92,0.4198152812762368
28,1949-05-01,23.91,-0.4164931278633932
29,1949-06-01,23.92,-0.9523809523809379
30,1949-07-01,23.7,-2.868852459016391
31,1949-08-01,23.7,-2.988129349160873
32,1949-09-01,23.75,-2.504105090311981
33,1949-10-01,23.67,-2.6326614561908546
34,1949-11-01,23.7,-1.9039735099337762
35,1949-12-01,23.61,-1.8295218295218296
36,1950-01-01,23.51,-2.082465639316955
37,1950-02-01,23.61,-1.2547051442910906
38,1950-03-01,23.64,-1.129234629861986
39,1950-04-01,23.65,-1.1287625418060276
40,1950-05-01,23.77,-0.5855290673358438
41,1950-06-01,23.88,-0.16722408026756952
42,1950-07-01,24.07,1.561181434599157
43,1950-08-01,24.2,2.1097046413502074
44,1950-09-01,24.34,2.4842105263158
45,1950-10-01,24.5,3.50654837346851
46,1950-11-01,24.6,3.797468354430378
47,1950-12-01,24.98,5.80262600592969
48,1951-01-01,25.38,7.9540621012335055
49,1951-02-01,25.83,9.402795425667087
50,1951-03-01,25.88,9.475465313028764
51,1951-04-01,25.92,9.598308668076116
52,1951-05-01,25.99,9.339503575936048
53,1951-06-01,25.93,8.584589614740379
54,1951-07-01,25.91,7.644370585791438
55,1951-08-01,25.86,6.859504132231398
56,1951-09-01,26.03,6.943303204601481
57,1951-10-01,26.16,6.775510204081625
58,1951-11-01,26.32,6.991869918699178
59,1951-12-01,26.47,5.964771817453962
60,1952-01-01,26.45,4.215918045705291
61,1952-02-01,26.41,2.245451025938827
62,1952-03-01,26.39,1.9706336939721902
63,1952-04-01,26.46,2.083333333333326
64,1952-05-01,26.47,1.8468641785302164
65,1952-06-01,26.53,2.313922097956045
66,1952-07-01,26.68,2.9718255499807
67,1952-08-01,26.69,3.209590100541382
68,1952-09-01,26.63,2.3050326546292688
69,1952-10-01,26.69,2.0259938837920544
70,1952-11-01,26.69,1.4057750759878473
71,1952-12-01,26.71,0.9066868152625585
72,1953-01-01,26.64,0.7183364839319584
73,1953-02-01,26.59,0.6815600151457879
74,1953-03-01,26.63,0.9094353921940135
75,1953-04-01,26.69,0.8692365835222926
76,1953-05-01,26.7,0.86890819795995
77,1953-06-01,26.77,0.9046362608367886
78,1953-07-01,26.79,0.41229385307346433
79,1953-08-01,26.85,0.5994754589734086
80,1953-09-01,26.89,0.9763424708974844
81,1953-10-01,26.95,0.9741476208317668
82,1953-11-01,26.85,0.5994754589734086
83,1953-12-01,26.87,0.5990265818045737
84,1954-01-01,26.94,1.1261261261261257
85,1954-02-01,26.99,1.5043249341857745
86,1954-03-01,26.93,1.1265490048817162
87,1954-04-01,26.86,0.6369426751592355
88,1954-05-01,26.93,0.8614232209737782
89,1954-06-01,26.94,0.635039223010847
90,1954-07-01,26.86,0.26129152668905586
91,1954-08-01,26.85,0.0
92,1954-09-01,26.81,-0.2975083674228385
93,1954-10-01,26.72,-0.8534322820037077
94,1954-11-01,26.78,-0.26070763500931626
95,1954-12-01,26.77,-0.37216226274656705
96,1955-01-01,26.77,-0.6310319227913919
97,1955-02-01,26.82,-0.6298629121896937
98,1955-03-01,26.79,-0.519866320089124
99,1955-04-01,26.79,-0.2606105733432673
100,1955-05-01,26.77,-0.5941329372447068
101,1955-06-01,26.71,-0.8537490720118779
102,1955-07-01,26.76,-0.37230081906179935
103,1955-08-01,26.72,-0.484171322160154
104,1955-09-01,26.85,0.14919806042521522
105,1955-10-01,26.82,0.37425149700598404
106,1955-11-01,26.88,0.37341299477220424
107,1955-12-01,26.87,0.37355248412402897
108,1956-01-01,26.83,0.22413149047439962
109,1956-02-01,26.86,0.1491424310216205
110,1956-03-01,26.89,0.3732736095558131
111,1956-04-01,26.93,0.5225830533781339
112,1956-05-01,27.03,0.9712364587224576
113,1956-06-01,27.15,1.647323099962561
114,1956-07-01,27.29,1.9805680119581393
115,1956-08-01,27.31,2.208083832335328
116,1956-09-01,27.35,1.862197392923659
117,1956-10-01,27.51,2.572706935123037
118,1956-11-01,27.51,2.34375
119,1956-12-01,27.63,2.828433196873825
120,1957-01-01,27.67,3.130823704808061
121,1957-02-01,27.8,3.4996276991809516
122,1957-03-01,27.86,3.607288955001864
123,1957-04-01,27.93,3.713330857779429
124,1957-05-01,28.0,3.588605253422128
125,1957-06-01,28.11,3.53591160220994
126,1957-07-01,28.19,3.2979113228288837
127,1957-08-01,28.28,3.551812522885389
128,1957-09-01,28.32,3.546617915904937
129,1957-10-01,28.32,2.944383860414379
130,1957-11-01,28.41,3.271537622682663
131,1957-12-01,28.47,3.0401737242128135
132,1958-01-01,28.64,3.5056017347307566
133,1958-02-01,28.7,3.237410071942448
134,1958-03-01,28.87,3.6252692031586653
135,1958-04-01,28.94,3.6161833154314316
136,1958-05-01,28.94,3.3571428571428585
137,1958-06-01,28.91,2.8459622909996485
138,1958-07-01,28.89,2.483150053210359
139,1958-08-01,28.94,2.333804809052342
140,1958-09-01,28.91,2.083333333333326
141,1958-10-01,28.91,2.083333333333326
142,1958-11-01,28.95,1.9007391763463444
143,1958-12-01,28.97,1.7562346329469625
144,1959-01-01,29.01,1.2918994413407825
145,1959-02-01,29.0,1.0452961672473782
146,1959-03-01,28.97,0.3463803255975062
147,1959-04-01,28.98,0.13821700069107656
148,1959-05-01,29.04,0.3455425017277136
149,1959-06-01,29.11,0.6918021445866396
150,1959-07-01,29.15,0.8999653859466772
151,1959-08-01,29.18,0.8293020041465038
152,1959-09-01,29.25,1.1760636457972984
153,1959-10-01,29.35,1.5219647180906293
154,1959-11-01,29.35,1.3816925734024155
155,1959-12-01,29.41,1.5188125647221273
156,1960-01-01,29.37,1.2409513960703222
157,1960-02-01,29.41,1.4137931034482687
158,1960-03-01,29.41,1.5188125647221273
159,1960-04-01,29.54,1.9323671497584405
160,1960-05-01,29.57,1.8250688705234275
161,1960-06-01,29.61,1.7176228100309165
162,1960-07-01,29.55,1.3722126929674117
163,1960-08-01,29.61,1.473612063056895
164,1960-09-01,29.61,1.2307692307692353
165,1960-10-01,29.75,1.3628620102214661
166,1960-11-01,29.78,1.4650766609880739
167,1960-12-01,29.81,1.3600816048962905
168,1961-01-01,29.84,1.6002723867892366
169,1961-02-01,29.84,1.4620877252635056
170,1961-03-01,29.84,1.4620877252635056
171,1961-04-01,29.81,0.9140148950575577
172,1961-05-01,29.84,0.9130875887723988
173,1961-06-01,29.84,0.7767646065518496
174,1961-07-01,29.92,1.25211505922167
175,1961-08-01,29.94,1.1144883485309176
176,1961-09-01,29.98,1.249577845322536
177,1961-10-01,29.98,0.7731092436974896
178,1961-11-01,29.98,0.671591672263272
179,1961-12-01,30.01,0.6709158000671067
180,1962-01-01,30.04,0.6702412868632601
181,1962-02-01,30.11,0.9048257372654245
182,1962-03-01,30.17,1.1058981233244003
183,1962-04-01,30.21,1.3418316001341912
184,1962-05-01,30.24,1.3404825737265424
185,1962-06-01,30.21,1.2399463806970434
186,1962-07-01,30.22,1.0026737967914423
187,1962-08-01,30.28,1.135604542418167
188,1962-09-01,30.42,1.4676450967311627
189,1962-10-01,30.38,1.3342228152101399
190,1962-11-01,30.38,1.3342228152101399
191,1962-12-01,30.38,1.2329223592135952
192,1963-01-01,30.44,1.331557922769644
193,1963-02-01,30.48,1.2288276320159497
194,1963-03-01,30.51,1.1269472986410234
195,1963-04-01,30.48,0.893743793445867
196,1963-05-01,30.51,0.8928571428571619
197,1963-06-01,30.61,1.3240648791790655
198,1963-07-01,30.69,1.5552614162806178
199,1963-08-01,30.75,1.5521796565389767
200,1963-09-01,30.72,0.9861932938855844
201,1963-10-01,30.75,1.2179065174456882
202,1963-11-01,30.78,1.3166556945358954
203,1963-12-01,30.88,1.6458196181698526
204,1964-01-01,30.94,1.6425755584756896
205,1964-02-01,30.91,1.4107611548556331
206,1964-03-01,30.94,1.4093739757456536
207,1964-04-01,30.95,1.5419947506561726
208,1964-05-01,30.98,1.5404785316289749
209,1964-06-01,31.01,1.3067624959163693
210,1964-07-01,31.02,1.0752688172043001
211,1964-08-01,31.05,0.9756097560975618
212,1964-09-01,31.08,1.171875
213,1964-10-01,31.12,1.2032520325203189
214,1964-11-01,31.21,1.3970110461338558
215,1964-12-01,31.25,1.1981865284974136
216,1965-01-01,31.28,1.098901098901095
217,1965-02-01,31.28,1.1970236169524417
218,1965-03-01,31.31,1.1958629605688387
219,1965-04-01,31.38,1.3893376413570246
220,1965-05-01,31.48,1.6139444803098701
221,1965-06-01,31.61,1.9348597226700903
222,1965-07-01,31.58,1.8052869116698789
223,1965-08-01,31.55,1.6103059581320522
224,1965-09-01,31.62,1.737451737451745
225,1965-10-01,31.65,1.7030848329048665
226,1965-11-01,31.75,1.7302146747837144
227,1965-12-01,31.85,1.9200000000000106
228,1966-01-01,31.88,1.9181585677749302
229,1966-02-01,32.08,2.5575447570332477
230,1966-03-01,32.18,2.7786649632705274
231,1966-04-01,32.28,2.8680688336520044
232,1966-05-01,32.35,2.763659466327839
233,1966-06-01,32.38,2.4359379943056148
234,1966-07-01,32.45,2.754908169727699
235,1966-08-01,32.65,3.4865293185419866
236,1966-09-01,32.75,3.5736875395319334
237,1966-10-01,32.85,3.791469194312813
238,1966-11-01,32.88,3.5590551181102548
239,1966-12-01,32.92,3.3594976452119285
240,1967-01-01,32.9,3.19949811794229
241,1967-02-01,33.0,2.8678304239401653
242,1967-03-01,33.0,2.5481665630826544
243,1967-04-01,33.1,2.5402726146220633
244,1967-05-01,33.1,2.3183925811437467
245,1967-06-01,33.3,2.8412600370598895
246,1967-07-01,33.4,2.9275808936825687
247,1967-08-01,33.5,2.6033690658499253
248,1967-09-01,33.6,2.595419847328251
249,1967-10-01,33.7,2.5875190258751957
250,1967-11-01,33.9,3.10218978102188
251,1967-12-01,34.0,3.280680437424044
252,1968-01-01,34.1,3.647416413373872
253,1968-02-01,34.2,3.6363636363636376
254,1968-03-01,34.3,3.9393939393939315
255,1968-04-01,34.4,3.92749244712991
256,1968-05-01,34.5,4.229607250755274
257,1968-06-01,34.7,4.2042042042042205
258,1968-07-01,34.9,4.491017964071853
259,1968-08-01,35.0,4.477611940298498
260,1968-09-01,35.1,4.464285714285721
261,1968-10-01,35.3,4.7477744807121525
262,1968-11-01,35.4,4.424778761061954
263,1968-12-01,35.6,4.705882352941182
264,1969-01-01,35.7,4.692082111436946
265,1969-02-01,35.8,4.678362573099393
266,1969-03-01,36.1,5.247813411078739
267,1969-04-01,36.3,5.523255813953476
268,1969-05-01,36.4,5.507246376811592
269,1969-06-01,36.6,5.475504322766556
270,1969-07-01,36.8,5.4441260744985565
271,1969-08-01,36.9,5.428571428571427
272,1969-09-01,37.1,5.698005698005693
273,1969-10-01,37.3,5.665722379603411
