,date,Interest Rate,GDP
0,1954-07-01,0.80,390.996
1,1954-10-01,0.85,399.734
2,1955-01-01,1.39,413.073
3,1955-04-01,1.43,421.532
4,1955-07-01,1.68,430.221
5,1955-10-01,2.24,437.092
6,1956-01-01,2.45,439.746
7,1956-04-01,2.62,446.01
8,1956-07-01,2.75,451.191
9,1956-10-01,2.96,460.463
10,1957-01-01,2.84,469.779
11,1957-04-01,3.00,472.025
12,1957-07-01,2.99,479.49
13,1957-10-01,3.50,474.864
14,1958-01-01,2.72,467.54
15,1958-04-01,1.26,471.978
16,1958-07-01,0.68,485.841
17,1958-10-01,1.80,499.555
18,1959-01-01,2.48,510.33
19,1959-04-01,2.96,522.653
20,1959-07-01,3.47,525.034
21,1959-10-01,3.98,528.6
22,1960-01-01,3.99,542.648
23,1960-04-01,3.92,541.08
24,1960-07-01,3.23,545.604
25,1960-10-01,2.47,540.197
26,1961-01-01,1.45,545.018
27,1961-04-01,1.49,555.545
28,1961-07-01,1.17,567.664
29,1961-10-01,2.26,580.612
30,1962-01-01,2.15,594.013
31,1962-04-01,2.78,600.366
32,1962-07-01,2.71,609.027
33,1962-10-01,2.90,612.28
34,1963-01-01,2.92,621.672
35,1963-04-01,2.90,629.752
36,1963-07-01,3.02,644.444
37,1963-10-01,3.50,653.938
38,1964-01-01,3.48,669.822
39,1964-04-01,3.47,678.674
40,1964-07-01,3.42,692.031
41,1964-10-01,3.36,697.319
42,1965-01-01,3.90,717.79
43,1965-04-01,4.09,730.191
44,1965-07-01,4.09,749.323
45,1965-10-01,4.08,771.857
46,1966-01-01,4.42,795.734
47,1966-04-01,4.67,804.981
48,1966-07-01,5.30,819.638
49,1966-10-01,5.53,833.302
50,1967-01-01,4.94,844.17
51,1967-04-01,4.05,848.983
52,1967-07-01,3.79,865.233
53,1967-10-01,3.88,881.439
54,1968-01-01,4.61,909.387
55,1968-04-01,5.76,934.344
56,1968-07-01,6.03,950.825
57,1968-10-01,5.91,968.03
58,1969-01-01,6.30,993.337
59,1969-04-01,7.41,1009.02
60,1969-07-01,8.61,1029.956
61,1969-10-01,9.00,1038.147
62,1970-01-01,8.98,1051.2
63,1970-04-01,8.10,1067.375
64,1970-07-01,7.21,1086.059
65,1970-10-01,6.20,1088.608
66,1971-01-01,4.14,1135.156
67,1971-04-01,4.16,1156.271
68,1971-07-01,5.31,1177.675
69,1971-10-01,5.20,1190.297
70,1972-01-01,3.51,1230.609
71,1972-04-01,4.17,1266.369
72,1972-07-01,4.55,1290.566
73,1972-10-01,5.05,1328.904
74,1973-01-01,5.94,1377.49
75,1973-04-01,7.12,1413.887
76,1973-07-01,10.40,1433.838
77,1973-10-01,10.01,1476.289
78,1974-01-01,9.65,1491.209
79,1974-04-01,10.51,1530.056
80,1974-07-01,12.92,1560.026
81,1974-10-01,10.06,1599.679
82,1975-01-01,7.13,1616.116
83,1975-04-01,5.49,1651.853
84,1975-07-01,6.10,1709.82
85,1975-10-01,5.82,1761.831
86,1976-01-01,4.87,1820.487
87,1976-04-01,4.82,1852.332
88,1976-07-01,5.31,1886.558
89,1976-10-01,5.02,1934.273
90,1977-01-01,4.61,1988.648
91,1977-04-01,4.73,2055.909
92,1977-07-01,5.42,2118.473
93,1977-10-01,6.47,2164.27
94,1978-01-01,6.70,2202.76
95,1978-04-01,6.89,2331.633
96,1978-07-01,7.81,2395.053
97,1978-10-01,8.96,2476.949
98,1979-01-01,10.07,2526.61
99,1979-04-01,10.01,2591.247
100,1979-07-01,10.47,2667.565
101,1979-10-01,13.77,2723.883
102,1980-01-01,13.82,2789.842
103,1980-04-01,17.61,2797.352
104,1980-07-01,9.03,2856.483
105,1980-10-01,12.81,2985.557
106,1981-01-01,19.08,3124.206
107,1981-04-01,15.72,3162.532
108,1981-07-01,19.04,3260.609
109,1981-10-01,15.08,3280.818
110,1982-01-01,13.22,3274.302
111,1982-04-01,14.94,3331.972
112,1982-07-01,12.59,3366.322
113,1982-10-01,9.71,3402.561
114,1983-01-01,8.68,3473.413
115,1983-04-01,8.80,3578.848
116,1983-07-01,9.37,3689.179
117,1983-10-01,9.48,3794.706
118,1984-01-01,9.56,3908.054
119,1984-04-01,10.29,4009.601
120,1984-07-01,11.23,4084.25
121,1984-10-01,9.99,4148.551
122,1985-01-01,8.35,4230.168
123,1985-04-01,8.27,4294.887
124,1985-07-01,7.88,4386.773
125,1985-10-01,7.99,4444.094
126,1986-01-01,8.14,4507.894
127,1986-04-01,6.99,4545.34
128,1986-07-01,6.56,4607.669
129,1986-10-01,5.85,4657.627
130,1987-01-01,6.43,4722.156
131,1987-04-01,6.37,4806.16
132,1987-07-01,6.58,4884.555
133,1987-10-01,7.29,5007.994
134,1988-01-01,6.83,5073.372
135,1988-04-01,6.87,5190.036
136,1988-07-01,7.75,5282.835
137,1988-10-01,8.30,5399.509
138,1989-01-01,9.12,5511.253
139,1989-04-01,9.84,5612.463
140,1989-07-01,9.24,5695.365
141,1989-10-01,8.84,5747.237
142,1990-01-01,8.23,5872.701
143,1990-04-01,8.26,5960.028
144,1990-07-01,8.15,6015.116
145,1990-10-01,8.11,6004.733
146,1991-01-01,6.91,6035.178
147,1991-04-01,5.91,6126.862
148,1991-07-01,5.82,6205.937
149,1991-10-01,5.21,6264.54
150,1992-01-01,4.03,6363.102
151,1992-04-01,3.73,6470.763
152,1992-07-01,3.25,6566.641
153,1992-10-01,3.10,6680.803
154,1993-01-01,3.02,6729.459
155,1993-04-01,2.96,6808.939
156,1993-07-01,3.06,6882.098
157,1993-10-01,2.99,7013.738
158,1994-01-01,3.05,7115.652
159,1994-04-01,3.56,7246.931
160,1994-07-01,4.26,7331.075
161,1994-10-01,4.76,7455.288
162,1995-01-01,5.53,7522.289
163,1995-04-01,6.05,7580.997
164,1995-07-01,5.85,7683.125
165,1995-10-01,5.76,7772.586
166,1996-01-01,5.56,7868.468
167,1996-04-01,5.22,8032.84
168,1996-07-01,5.40,8131.408
169,1996-10-01,5.24,8259.771
170,1997-01-01,5.25,8362.655
171,1997-04-01,5.51,8518.825
172,1997-07-01,5.52,8662.823
173,1997-10-01,5.50,8765.907
174,1998-01-01,5.56,8866.48
175,1998-04-01,5.45,8969.699
176,1998-07-01,5.54,9121.097
177,1998-10-01,5.07,9293.991
178,1999-01-01,4.63,9411.682
179,1999-04-01,4.74,9526.21
180,1999-07-01,4.99,9686.626
181,1999-10-01,5.20,9900.169
182,2000-01-01,5.45,10002.179
183,2000-04-01,6.02,10247.72
184,2000-07-01,6.54,10318.165
185,2000-10-01,6.51,10435.744
186,2001-01-01,5.98,10470.231
187,2001-04-01,4.8,10599.0
188,2001-07-01,3.77,10598.02
189,2001-10-01,2.49,10660.465
190,2002-01-01,1.73,10783.5
191,2002-04-01,1.75,10887.46
192,2002-07-01,1.73,10984.04
193,2002-10-01,1.75,11061.433
194,2003-01-01,1.24,11174.129
195,2003-04-01,1.26,11312.766
196,2003-07-01,1.01,11566.669
197,2003-10-01,1.01,11772.234
198,2004-01-01,1.00,11923.447
199,2004-04-01,1.00,12112.815
200,2004-07-01,1.26,12305.307
201,2004-10-01,1.76,12527.214
202,2005-01-01,2.28,12767.286
203,2005-04-01,2.79,12922.656
204,2005-07-01,3.26,13142.642
205,2005-10-01,3.78,13324.204
206,2006-01-01,4.29,13599.16
207,2006-04-01,4.79,13753.424
208,2006-07-01,5.24,13870.188
209,2006-10-01,5.25,14039.56
210,2007-01-01,5.25,14215.651
211,2007-04-01,5.25,14402.082
212,2007-07-01,5.26,14564.117
213,2007-10-01,4.76,14715.058
214,2008-01-01,3.94,14706.538
215,2008-04-01,2.28,14865.701
216,2008-07-01,2.01,14898.999
217,2008-10-01,0.97,14608.208
218,2009-01-01,0.15,14430.901
219,2009-04-01,0.15,14381.236
220,2009-07-01,0.16,14448.882
221,2009-10-01,0.12,14651.248
222,2010-01-01,0.11,14764.611
223,2010-04-01,0.20,14980.193
224,2010-07-01,0.18,15141.605
225,2010-10-01,0.19,15309.471
226,2011-01-01,0.17,15351.444
227,2011-04-01,0.10,15557.535
228,2011-07-01,0.07,15647.681
229,2011-10-01,0.07,15842.267
