,date,Interest Rate,GDP,Unemployment Rate
0,1954-07-01,0.80,390.996,5.8
1,1954-10-01,0.85,399.734,5.7
2,1955-01-01,1.39,413.073,4.9
3,1955-04-01,1.43,421.532,4.7
4,1955-07-01,1.68,430.221,4.0
5,1955-10-01,2.24,437.092,4.3
6,1956-01-01,2.45,439.746,4.0
7,1956-04-01,2.62,446.01,4.0
8,1956-07-01,2.75,451.191,4.4
9,1956-10-01,2.96,460.463,3.9
10,1957-01-01,2.84,469.779,4.2
11,1957-04-01,3.00,472.025,3.9
12,1957-07-01,2.99,479.49,4.2
13,1957-10-01,3.50,474.864,4.5
14,1958-01-01,2.72,467.54,5.8
15,1958-04-01,1.26,471.978,7.4
16,1958-07-01,0.68,485.841,7.5
17,1958-10-01,1.80,499.555,6.7
18,1959-01-01,2.48,510.33,6.0
19,1959-04-01,2.96,522.653,5.2
20,1959-07-01,3.47,525.034,5.1
21,1959-10-01,3.98,528.6,5.7
22,1960-01-01,3.99,542.648,5.2
23,1960-04-01,3.92,541.08,5.2
24,1960-07-01,3.23,545.604,5.5
25,1960-10-01,2.47,540.197,6.1
26,1961-01-01,1.45,545.018,6.6
27,1961-04-01,1.49,555.545,7.0
28,1961-07-01,1.17,567.664,7.0
29,1961-10-01,2.26,580.612,6.5
30,1962-01-01,2.15,594.013,5.8
31,1962-04-01,2.78,600.366,5.6
32,1962-07-01,2.71,609.027,5.4
33,1962-10-01,2.90,612.28,5.4
34,1963-01-01,2.92,621.672,5.7
35,1963-04-01,2.90,629.752,5.7
36,1963-07-01,3.02,644.444,5.6
37,1963-10-01,3.50,653.938,5.5
38,1964-01-01,3.48,669.822,5.6
39,1964-04-01,3.47,678.674,5.3
40,1964-07-01,3.42,692.031,4.9
41,1964-10-01,3.36,697.319,5.1
42,1965-01-01,3.90,717.79,4.9
43,1965-04-01,4.09,730.191,4.8
44,1965-07-01,4.09,749.323,4.4
45,1965-10-01,4.08,771.857,4.2
46,1966-01-01,4.42,795.734,4.0
47,1966-04-01,4.67,804.981,3.8
48,1966-07-01,5.30,819.638,3.8
49,1966-10-01,5.53,833.302,3.7
50,1967-01-01,4.94,844.17,3.9
51,1967-04-01,4.05,848.983,3.8
52,1967-07-01,3.79,865.233,3.8
53,1967-10-01,3.88,881.439,4.0
54,1968-01-01,4.61,909.387,3.7
55,1968-04-01,5.76,934.344,3.5
56,1968-07-01,6.03,950.825,3.7
57,1968-10-01,5.91,968.03,3.4
58,1969-01-01,6.30,993.337,3.4
59,1969-04-01,7.41,1009.02,3.4
60,1969-07-01,8.61,1029.956,3.5
61,1969-10-01,9.00,1038.147,3.7
62,1970-01-01,8.98,1051.2,3.9
63,1970-04-01,8.10,1067.375,4.6
64,1970-07-01,7.21,1086.059,5.0
65,1970-10-01,6.20,1088.608,5.5
66,1971-01-01,4.14,1135.156,5.9
67,1971-04-01,4.16,1156.271,5.9
